"dataset","method","case_id","service","fault","repeat_no","n_train","n_cal","n_ab","alarm_fraction","detected","auc"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_1","currencyservice","delay","1",180,120,300,0,FALSE,0.907
"RE1-OB","PCA","RE1-OB_currencyservice_delay_2","currencyservice","delay","2",180,120,300,0.983,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_2","currencyservice","delay","2",180,120,300,0.267,TRUE,0.976
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_2","currencyservice","delay","2",180,120,300,0,FALSE,0.979
"RE1-OB","PCA","RE1-OB_currencyservice_delay_3","currencyservice","delay","3",180,120,300,0.97,TRUE,0.992
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_3","currencyservice","delay","3",180,120,300,0.56,TRUE,0.939
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_3","currencyservice","delay","3",180,120,300,0,FALSE,0.838
"RE1-OB","PCA","RE1-OB_currencyservice_delay_4","currencyservice","delay","4",180,120,300,0.973,TRUE,0.99
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_4","currencyservice","delay","4",180,120,300,0.89,TRUE,0.987
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_4","currencyservice","delay","4",180,120,300,0,FALSE,0.629
"RE1-OB","PCA","RE1-OB_currencyservice_delay_5","currencyservice","delay","5",180,120,300,0.963,TRUE,0.981
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_5","currencyservice","delay","5",180,120,300,0.903,TRUE,0.986
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_5","currencyservice","delay","5",180,120,300,0.963,TRUE,0.98
"RE1-OB","PCA","RE1-OB_currencyservice_disk_1","currencyservice","disk","1",180,120,300,0.967,TRUE,0.984
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_1","currencyservice","disk","1",180,120,300,0.923,TRUE,0.979
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_1","currencyservice","disk","1",180,120,300,0.96,TRUE,0.979
"RE1-OB","PCA","RE1-OB_currencyservice_disk_2","currencyservice","disk","2",180,120,300,0.893,TRUE,0.983
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_2","currencyservice","disk","2",180,120,300,0.43,TRUE,0.964
